date,season,team1,team2,elo_prob1,elo_prob2,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating,WIN 2,WIN 1,Handicap 2,Coef. Handicap 2,Handicap 1,Coef. Handicap 1,Game points,< Game points,> Game points,team 2,team 1,spread team 2,spread team 1
2022-11-15,2023,NOP,MEM,0.59,0.41,0.57,0.43,,,79,27,53,2.22,1.71,2.0,1.96,-2.0,1.88,229.0,1.98,1.85,,,,
2022-11-15,2023,DAL,LAC,0.76,0.24,0.75,0.25,,,79,30,55,3.55,1.39,7.0,1.99,-7.0,2.0,212.0,1.96,2.03,,,,
2022-11-15,2023,UTA,NYK,0.76,0.24,0.72,0.28,,,63,31,47,2.58,1.54,4.0,1.95,-4.0,1.89,231.0,1.87,1.95,,,,
2022-11-15,2023,POR,SAS,0.61,0.39,0.66,0.34,,,25,40,33,3.66,1.31,7.5,1.95,-7.5,1.89,224.5,1.89,1.93,,,,
2022-11-15,2023,SAC,BRK,0.53,0.47,0.55,0.45,,,48,49,49,2.12,1.77,2.0,1.909,-2.0,1.93,225.0,1.909,1.909,,,,
2022-11-16,2023,ORL,MIN,0.48,0.52,0.35,0.65,,,25,20,23,1.44,2.92,-5.5,1.89,5.5,1.95,225.5,1.85,1.97,,,-3.5,
2022-11-16,2023,WAS,OKC,0.7,0.3,0.64,0.36,,,24,16,20,2.58,1.54,4.5,1.9,-4.5,1.94,226.0,1.99,1.84,,,,-3.5
2022-11-16,2023,CHO,IND,0.67,0.33,0.64,0.36,,,37,51,44,2.22,1.71,2.5,1.92,-2.5,1.92,232.5,1.95,1.87,,,,-3.5
2022-11-16,2023,ATL,BOS,0.5,0.5,0.47,0.53,,,90,19,55,1.77,2.12,-1.5,1.88,1.5,1.96,232.5,1.98,1.85,,,-0.5,
2022-11-16,2023,TOR,MIA,0.61,0.39,0.59,0.41,,,76,35,56,1.82,2.05,-1.5,1.92,1.5,1.92,215.0,1.909,1.909,,,,-2.0
2022-11-16,2023,NOP,CHI,0.76,0.24,0.66,0.34,,,62,43,53,2.43,1.6,4.0,1.89,-4.0,1.95,224.5,1.92,1.9,,,,-4.0
2022-11-16,2023,MIL,CLE,0.68,0.32,0.66,0.34,,,65,19,42,2.625,1.61,4.0,2.0,-4.0,1.99,219.5,2.03,1.96,,,,-4.0
2022-11-16,2023,DAL,HOU,0.89,0.11,0.88,0.12,,,26,2,14,4.333,1.24,9.0,1.94,-9.0,1.9,221.0,1.909,1.909,,,,-12.5
2022-11-16,2023,PHO,GSW,0.64,0.36,0.6,0.4,,,79,29,54,2.19,1.83,1.5,2.04,-1.5,1.952,226.5,2.04,1.95,,,,-2.5
2022-11-17,2023,POR,BRK,0.54,0.46,0.54,0.46,,,42,60,51,2.27,1.78,2.0,2.04,-2.0,1.95,220.0,2.07,1.92,,,,-1.0
2022-11-17,2023,SAC,SAS,0.67,0.33,0.67,0.33,,,34,26,30,3.32,1.36,7.0,1.94,-7.0,1.9,237.0,1.92,1.9,,,,-4.5
2022-11-17,2023,LAC,DET,0.79,0.21,0.8,0.2,,,16,12,14,4.15,1.26,9.5,1.86,-9.5,1.98,217.0,1.909,1.909,,,,-8.5
2022-11-21,2023,IND,ORL,0.75,0.25,0.79,0.21,,,16,11,14,3.15,1.39,7.0,1.88,-7.0,1.96,226.5,1.909,1.909,,,,-8.0
2022-11-21,2023,CLE,ATL,0.64,0.36,0.55,0.45,,,75,38,57,2.19,1.727,2.5,1.88,-2.5,1.96,224.5,1.909,1.909,,,,-1.0
2022-11-21,2023,MIL,POR,0.81,0.19,0.8,0.2,,,49,15,32,3.74,1.3,9.0,1.86,-9.0,1.98,215.0,1.93,1.89,,,,-8.5
2022-11-21,2023,CHI,BOS,0.3,0.7,0.31,0.69,,,79,26,53,1.46,3.15,-6.5,2.0,6.5,1.99,227.5,2.04,1.95,,,-5.0,
2022-11-22,2023,PHI,BRK,0.71,0.29,0.46,0.54,,,48,55,52,1.35,3.84,-7.5,2.0,7.5,1.99,217.5,2.0,1.99,,,-1.0,
2022-11-22,2023,MEM,SAC,0.76,0.24,0.66,0.34,,,57,33,45,1.97,1.89,0.0,1.96,0.0,1.88,233.5,1.909,1.909,,,,-4.0
2022-11-22,2023,DEN,DET,0.85,0.15,0.83,0.17,,,17,2,10,3.1,1.4,6.0,1.92,-6.0,1.92,224.5,1.909,1.909,,,,-9.5
2022-11-22,2023,PHO,LAL,0.84,0.16,0.78,0.22,,,49,7,28,3.44,1.34,7.0,1.92,-7.0,1.92,227.5,1.909,1.909,,,,-8.0
2022-11-23,2023,CLE,POR,0.81,0.19,0.78,0.22,,,44,28,36,3.66,1.31,8.5,1.85,-8.5,2.0,217.0,1.9,1.92,,,,-8.0
2022-11-23,2023,CHO,PHI,0.43,0.57,0.47,0.53,,,48,26,37,2.48,1.58,3.5,1.96,-3.5,1.88,214.5,1.909,1.909,,,-1.0,
2022-11-23,2023,IND,MIN,0.57,0.43,0.52,0.48,,,60,59,60,1.87,1.99,-1.0,1.92,1.0,1.92,235.5,1.93,1.89,,,,-0.5
2022-11-23,2023,MIA,WAS,0.74,0.26,0.59,0.41,,,31,50,41,2.06,1.82,1.5,1.92,-1.5,1.92,212.0,1.9,1.92,,,,-2.0
2022-11-23,2023,TOR,BRK,0.69,0.31,0.7,0.3,,,73,44,59,2.14,1.76,2.0,1.93,-2.0,1.909,221.5,1.94,1.88,,,,-5.5
2022-11-23,2023,ATL,SAC,0.71,0.29,0.74,0.26,,,62,39,51,2.92,1.44,6.0,1.86,-6.0,1.98,239.0,1.94,1.88,,,,-6.5
2022-11-23,2023,BOS,DAL,0.76,0.24,0.65,0.35,,,92,18,55,2.6,1.62,4.0,1.99,-4.0,2.0,219.0,1.97,2.02,,,,-4.0
2022-11-23,2023,SAS,NOP,0.4,0.6,0.34,0.66,,,42,14,28,1.33,3.52,-7.5,1.93,7.5,1.909,232.5,1.9,1.92,,,-4.0,
2022-11-23,2023,MIL,CHI,0.77,0.23,0.72,0.28,,,64,23,44,3.75,1.36,7.5,1.99,-7.5,2.0,219.0,2.05,1.94,,,,-6.0
2022-11-23,2023,OKC,DEN,0.47,0.53,0.41,0.59,,,31,9,20,1.73,2.18,-2.5,1.96,2.5,1.88,229.0,1.909,1.909,,,-2.5,
2022-11-23,2023,UTA,DET,0.86,0.14,0.88,0.12,,,21,4,13,5.3,1.179,11.5,1.89,-11.5,1.95,228.5,1.93,1.89,,,,-12.5
2022-11-23,2023,GSW,LAC,0.72,0.28,0.73,0.27,,,48,54,51,3.92,1.28,9.0,1.88,-9.0,1.96,222.0,1.96,1.86,,,,-6.0
